,t(min),Te[K],Tc[K],dT[K],P[bar],Q[W],TR[K/W],alpha,beta,phase,Fluid
0,00:00:00,306.15,306.15,0.0,0.4799603232799422,80,0.0,90,0,1,DI_Water
1,00:00:05,306.15,306.15,0.0,0.4799603232799422,80,0.0,90,0,1,DI_Water
2,00:00:10,306.15,306.15,0.0,0.4799603232799422,80,0.0,90,0,1,DI_Water
3,00:00:15,306.15,306.15,0.0,0.4799603232799422,80,0.0,90,0,1,DI_Water
4,00:00:20,306.15,306.15,0.0,0.4799603232799422,80,0.0,90,0,1,DI_Water
5,00:00:25,306.34999999999997,306.15,0.20000000000000284,0.4799603232799422,80,0.0025000000000000356,90,0,1,DI_Water
6,00:00:30,306.15,306.15,0.0,0.4799603232799422,80,0.0,90,0,1,DI_Water
7,00:00:35,306.34999999999997,306.15,0.20000000000000284,0.4799603232799422,80,0.0025000000000000356,90,0,1,DI_Water
8,00:00:40,306.15,306.15,0.0,0.4799603232799422,80,0.0,90,0,1,DI_Water
9,00:00:45,306.34999999999997,306.15,0.20000000000000284,0.4799603232799422,80,0.0025000000000000356,90,0,1,DI_Water
10,00:00:50,306.34999999999997,306.15,0.20000000000000284,0.4799603232799422,80,0.0025000000000000356,90,0,1,DI_Water
11,00:00:55,306.15,306.15,0.0,0.4799603232799422,80,0.0,90,0,1,DI_Water
12,00:01:00,306.15,306.15,0.0,0.4799603232799422,80,0.0,90,0,1,DI_Water
13,00:01:05,306.54999999999995,306.15,0.3999999999999986,0.4799603232799422,80,0.004999999999999982,90,0,1,DI_Water
14,00:01:10,306.75,306.15,0.6000000000000014,0.4799603232799422,80,0.007500000000000018,90,0,1,DI_Water
15,00:01:15,306.75,306.15,0.6000000000000014,0.4799603232799422,80,0.007500000000000018,90,0,1,DI_Water
16,00:01:20,306.95,306.15,0.7999999999999972,0.4799603232799422,80,0.009999999999999964,90,0,1,DI_Water
17,00:01:25,307.15,306.15,1.0,0.4799603232799422,80,0.0125,90,0,1,DI_Water
18,00:01:30,307.15,306.4,0.75,0.4799603232799422,80,0.009375,90,0,1,DI_Water
19,00:01:35,307.54999999999995,306.15,1.3999999999999986,0.4799603232799422,80,0.01749999999999998,90,0,1,DI_Water
20,00:01:40,307.54999999999995,306.15,1.3999999999999986,0.4799603232799422,80,0.01749999999999998,90,0,1,DI_Water
21,00:01:45,307.95,306.15,1.7999999999999972,0.4799603232799422,80,0.022499999999999964,90,0,1,DI_Water
22,00:01:50,307.95,306.4,1.5499999999999972,0.4799603232799422,80,0.019374999999999965,90,0,1,DI_Water
