,t(min),Te[K],Tc[K],dT[K],P[bar],Q[W],TR[K/W],alpha,beta,phase
0,00:00:00,307.15,307.15,0.0,0.4132991672688391,60,0.0,90,0,1
1,00:00:05,307.15,307.15,0.0,0.4132991672688391,60,0.0,90,0,1
2,00:00:10,307.15,307.15,0.0,0.4132991672688391,60,0.0,90,0,1
3,00:00:15,307.15,307.15,0.0,0.4132991672688391,60,0.0,90,0,1
4,00:00:20,306.95,306.9,0.04999999999999716,0.4132991672688391,60,0.000833333333333286,90,0,1
5,00:00:25,307.15,306.9,0.25,0.4132991672688391,60,0.004166666666666667,90,0,1
6,00:00:30,307.15,307.15,0.0,0.4132991672688391,60,0.0,90,0,1
7,00:00:35,307.15,307.15,0.0,0.4132991672688391,60,0.0,90,0,1
8,00:00:40,307.15,307.15,0.0,0.4132991672688391,60,0.0,90,0,1
9,00:00:45,307.15,307.15,0.0,0.4132991672688391,60,0.0,90,0,1
10,00:00:50,307.15,306.9,0.25,0.4132991672688391,60,0.004166666666666667,90,0,1
11,00:00:55,307.15,307.15,0.0,0.4132991672688391,60,0.0,90,0,1
12,00:01:00,307.15,307.15,0.0,0.4132991672688391,60,0.0,90,0,1
13,00:01:05,307.15,307.15,0.0,0.4132991672688391,60,0.0,90,0,1
14,00:01:10,307.34999999999997,307.15,0.20000000000000284,0.4132991672688391,60,0.003333333333333381,90,0,1
15,00:01:15,307.15,307.15,0.0,0.4132991672688391,60,0.0,90,0,1
16,00:01:20,307.34999999999997,307.15,0.20000000000000284,0.4132991672688391,60,0.003333333333333381,90,0,1
17,00:01:25,307.95,307.15,0.7999999999999972,0.4132991672688391,60,0.013333333333333286,90,0,1
18,00:01:30,307.75,307.15,0.6000000000000014,0.4132991672688391,60,0.010000000000000024,90,0,1
19,00:01:35,307.95,307.15,0.7999999999999972,0.4132991672688391,60,0.013333333333333286,90,0,1
20,00:01:40,307.95,307.15,0.7999999999999972,0.4132991672688391,60,0.013333333333333286,90,0,1
21,00:01:45,308.54999999999995,307.15,1.3999999999999986,0.4132991672688391,60,0.02333333333333331,90,0,1
22,00:01:50,308.54999999999995,307.15,1.3999999999999986,0.4132991672688391,60,0.02333333333333331,90,0,1
23,00:01:55,308.54999999999995,307.15,1.3999999999999986,0.4132991672688391,60,0.02333333333333331,90,0,1
24,00:02:00,308.95,307.15,1.7999999999999972,0.4132991672688391,60,0.029999999999999954,90,0,1
25,00:02:05,308.75,307.15,1.6000000000000014,0.4132991672688391,60,0.02666666666666669,90,0,1
26,00:02:10,309.34999999999997,307.15,2.200000000000003,0.4132991672688391,60,0.036666666666666715,90,0,1
