,Te[K],Tc[K],dT[K],P[bar],Q[W],Fluid,FR,TR[K/W]
0,298.15,296.65,1.5,0.4132991672688391,80,DI_Water,60,0.01875
1,297.81666666666666,296.65,1.166666666666668,0.4132991672688391,80,DI_Water,60,0.0145833333333333
2,298.15,296.4,1.75,0.4132991672688391,80,DI_Water,60,0.021875
3,300.15,296.4,3.75,0.4132991672688391,80,DI_Water,60,0.046875
4,302.15,296.4,5.75,0.4132991672688391,80,DI_Water,60,0.071875
5,302.81666666666666,296.65,6.166666666666668,0.4132991672688391,80,DI_Water,60,0.0770833333333333
6,305.15,296.9,8.25,0.4132991672688391,80,DI_Water,60,0.103125
7,306.81666666666666,297.4,9.416666666666664,0.4132991672688391,80,DI_Water,60,0.1177083333333333
8,309.15,298.15,11.0,0.4132991672688391,80,DI_Water,60,0.1375
9,310.81666666666666,298.65,12.166666666666664,0.4132991672688391,80,DI_Water,60,0.1520833333333333
10,312.81666666666666,299.65,13.166666666666664,0.4132991672688391,80,DI_Water,60,0.1645833333333333
11,315.15,299.9,15.25,0.4132991672688391,80,DI_Water,60,0.190625
12,317.15,300.4,16.75,0.4132991672688391,80,DI_Water,60,0.209375
13,320.15,301.9,18.25,0.4466297452743906,80,DI_Water,60,0.228125
14,321.81666666666666,302.15,19.666666666666664,0.4466297452743906,80,DI_Water,60,0.2458333333333333
15,323.15,303.15,20.0,0.4466297452743906,80,DI_Water,60,0.25
16,325.81666666666666,303.4,22.416666666666664,0.4799603232799422,80,DI_Water,60,0.2802083333333333
17,327.15,304.4,22.75,0.4799603232799422,80,DI_Water,60,0.284375
18,328.4833333333333,305.15,23.333333333333336,0.4799603232799422,80,DI_Water,60,0.2916666666666667
19,329.81666666666666,306.15,23.666666666666664,0.5132909012854937,80,DI_Water,60,0.2958333333333333
20,332.15,306.9,25.25,0.5466214792910453,80,DI_Water,60,0.315625
21,333.81666666666666,308.15,25.666666666666664,0.5466214792910453,80,DI_Water,60,0.3208333333333333
22,335.15,308.9,26.25,0.5466214792910453,80,DI_Water,60,0.328125
23,336.81666666666666,309.65,27.166666666666664,0.5799520572965968,80,DI_Water,60,0.3395833333333333
24,338.4833333333333,310.4,28.08333333333333,0.6132826353021483,80,DI_Water,60,0.3510416666666666
25,338.81666666666666,309.9,28.91666666666667,0.6132826353021483,80,DI_Water,60,0.3614583333333334
26,341.15,311.9,29.25,0.6132826353021483,80,DI_Water,60,0.365625
27,341.81666666666666,312.4,29.41666666666667,0.6132826353021483,80,DI_Water,60,0.3677083333333334
28,342.15,311.65,30.5,0.6466132133076999,80,DI_Water,60,0.38125
29,344.15,313.15,31.0,0.6466132133076999,80,DI_Water,60,0.3875
30,344.81666666666666,314.15,30.66666666666667,0.6799437913132514,80,DI_Water,60,0.3833333333333334
31,344.81666666666666,313.65,31.16666666666667,0.6799437913132514,80,DI_Water,60,0.3895833333333334
32,346.15,314.15,32.0,0.6799437913132514,80,DI_Water,60,0.4
33,347.15,314.9,32.25,0.6799437913132514,80,DI_Water,60,0.403125
34,348.4833333333333,315.15,33.33333333333333,0.713274369318803,80,DI_Water,60,0.4166666666666666
35,348.4833333333333,315.65,32.83333333333333,0.7466049473243546,80,DI_Water,60,0.4104166666666666
36,348.81666666666666,316.4,32.41666666666667,0.7466049473243546,80,DI_Water,60,0.4052083333333334
37,348.4833333333333,317.65,30.83333333333333,0.7466049473243546,80,DI_Water,60,0.3854166666666666
