,t(min),Te[K],Tc[K],dT[K],P[bar],Q[W],TR[K/W],alpha,beta,phase
0,00:00:00,305.15,305.15,0.0,0.44662974527439064,40,0.0,90,0,1
1,00:00:05,305.34999999999997,305.15,0.20000000000000284,0.44662974527439064,40,0.005000000000000071,90,0,1
2,00:00:10,305.34999999999997,305.15,0.20000000000000284,0.44662974527439064,40,0.005000000000000071,90,0,1
3,00:00:15,305.15,305.15,0.0,0.44662974527439064,40,0.0,90,0,1
4,00:00:20,305.15,305.15,0.0,0.44662974527439064,40,0.0,90,0,1
5,00:00:25,305.34999999999997,305.15,0.20000000000000284,0.44662974527439064,40,0.005000000000000071,90,0,1
6,00:00:30,305.34999999999997,305.15,0.20000000000000284,0.44662974527439064,40,0.005000000000000071,90,0,1
7,00:00:35,305.34999999999997,305.15,0.20000000000000284,0.44662974527439064,40,0.005000000000000071,90,0,1
8,00:00:40,305.15,305.15,0.0,0.44662974527439064,40,0.0,90,0,1
9,00:00:45,305.15,305.15,0.0,0.44662974527439064,40,0.0,90,0,1
10,00:00:50,305.54999999999995,305.15,0.3999999999999986,0.44662974527439064,40,0.009999999999999964,90,0,1
11,00:00:55,305.54999999999995,305.4,0.14999999999999858,0.44662974527439064,40,0.0037499999999999643,90,0,1
12,00:01:00,305.54999999999995,305.4,0.14999999999999858,0.44662974527439064,40,0.0037499999999999643,90,0,1
13,00:01:05,305.75,305.4,0.3500000000000014,0.44662974527439064,40,0.008750000000000036,90,0,1
14,00:01:10,305.95,305.4,0.5499999999999972,0.44662974527439064,40,0.013749999999999929,90,0,1
15,00:01:15,305.95,305.4,0.5499999999999972,0.44662974527439064,40,0.013749999999999929,90,0,1
16,00:01:20,306.15,305.4,0.75,0.44662974527439064,40,0.01875,90,0,1
17,00:01:25,306.15,305.4,0.75,0.44662974527439064,40,0.01875,90,0,1
18,00:01:30,306.15,305.4,0.75,0.44662974527439064,40,0.01875,90,0,1
19,00:01:35,306.34999999999997,305.4,0.9500000000000028,0.44662974527439064,40,0.02375000000000007,90,0,1
20,00:01:40,306.15,305.4,0.75,0.44662974527439064,40,0.01875,90,0,1
21,00:01:45,306.15,305.4,0.75,0.44662974527439064,40,0.01875,90,0,1
22,00:01:50,306.54999999999995,305.4,1.1499999999999986,0.44662974527439064,40,0.028749999999999963,90,0,1
23,00:01:55,306.54999999999995,305.4,1.1499999999999986,0.44662974527439064,40,0.028749999999999963,90,0,1
24,00:02:00,306.75,305.65,1.1000000000000014,0.44662974527439064,40,0.027500000000000035,90,0,1
25,00:02:05,306.95,305.65,1.2999999999999972,0.44662974527439064,40,0.03249999999999993,90,0,1
26,00:02:10,306.75,305.4,1.3500000000000014,0.44662974527439064,40,0.03375000000000004,90,0,1
27,00:02:15,307.15,305.4,1.75,0.44662974527439064,40,0.04375,90,0,1
28,00:02:20,307.15,305.4,1.75,0.44662974527439064,40,0.04375,90,0,1
29,00:02:25,307.34999999999997,305.9,1.4500000000000028,0.44662974527439064,40,0.036250000000000074,90,0,1
30,00:02:30,307.54999999999995,305.65,1.8999999999999986,0.44662974527439064,40,0.047499999999999966,90,0,1
