,Te[K],Tc[K],dT[K],P[bar],TR[K/W],Fluid,FR
0,298.15,296.65,1.5,0.4132991672688391,0.01875,DI_Water,60
1,297.81666666666666,296.65,1.166666666666668,0.4132991672688391,0.0145833333333333,DI_Water,60
2,298.15,296.4,1.75,0.4132991672688391,0.021875,DI_Water,60
3,300.15,296.4,3.75,0.4132991672688391,0.046875,DI_Water,60
4,302.15,296.4,5.75,0.4132991672688391,0.071875,DI_Water,60
5,302.81666666666666,296.65,6.166666666666668,0.4132991672688391,0.0770833333333333,DI_Water,60
6,305.15,296.9,8.25,0.4132991672688391,0.103125,DI_Water,60
7,306.81666666666666,297.4,9.416666666666664,0.4132991672688391,0.1177083333333333,DI_Water,60
8,309.15,298.15,11.0,0.4132991672688391,0.1375,DI_Water,60
9,310.81666666666666,298.65,12.166666666666664,0.4132991672688391,0.1520833333333333,DI_Water,60
10,312.81666666666666,299.65,13.166666666666664,0.4132991672688391,0.1645833333333333,DI_Water,60
11,315.15,299.9,15.25,0.4132991672688391,0.190625,DI_Water,60
12,317.15,300.4,16.75,0.4132991672688391,0.209375,DI_Water,60
13,320.15,301.9,18.25,0.4466297452743906,0.228125,DI_Water,60
14,321.81666666666666,302.15,19.666666666666664,0.4466297452743906,0.2458333333333333,DI_Water,60
15,323.15,303.15,20.0,0.4466297452743906,0.25,DI_Water,60
16,325.81666666666666,303.4,22.416666666666664,0.4799603232799422,0.2802083333333333,DI_Water,60
17,327.15,304.4,22.75,0.4799603232799422,0.284375,DI_Water,60
18,328.4833333333333,305.15,23.333333333333336,0.4799603232799422,0.2916666666666667,DI_Water,60
19,329.81666666666666,306.15,23.666666666666664,0.5132909012854937,0.2958333333333333,DI_Water,60
20,332.15,306.9,25.25,0.5466214792910453,0.315625,DI_Water,60
21,333.81666666666666,308.15,25.666666666666664,0.5466214792910453,0.3208333333333333,DI_Water,60
22,335.15,308.9,26.25,0.5466214792910453,0.328125,DI_Water,60
23,336.81666666666666,309.65,27.166666666666664,0.5799520572965968,0.3395833333333333,DI_Water,60
24,338.4833333333333,310.4,28.08333333333333,0.6132826353021483,0.3510416666666666,DI_Water,60
25,338.81666666666666,309.9,28.91666666666667,0.6132826353021483,0.3614583333333334,DI_Water,60
26,341.15,311.9,29.25,0.6132826353021483,0.365625,DI_Water,60
27,341.81666666666666,312.4,29.41666666666667,0.6132826353021483,0.3677083333333334,DI_Water,60
28,342.15,311.65,30.5,0.6466132133076999,0.38125,DI_Water,60
29,344.15,313.15,31.0,0.6466132133076999,0.3875,DI_Water,60
30,344.81666666666666,314.15,30.66666666666667,0.6799437913132514,0.3833333333333334,DI_Water,60
31,344.81666666666666,313.65,31.16666666666667,0.6799437913132514,0.3895833333333334,DI_Water,60
32,346.15,314.15,32.0,0.6799437913132514,0.4,DI_Water,60
33,347.15,314.9,32.25,0.6799437913132514,0.403125,DI_Water,60
34,348.4833333333333,315.15,33.33333333333333,0.713274369318803,0.4166666666666666,DI_Water,60
35,348.4833333333333,315.65,32.83333333333333,0.7466049473243546,0.4104166666666666,DI_Water,60
36,348.81666666666666,316.4,32.41666666666667,0.7466049473243546,0.4052083333333334,DI_Water,60
37,348.4833333333333,317.65,30.83333333333333,0.7466049473243546,0.3854166666666666,DI_Water,60
38,349.15,317.9,31.25,0.7799355253299061,0.390625,DI_Water,60
39,350.4833333333333,320.15,30.33333333333333,0.7799355253299061,0.3791666666666666,DI_Water,60
40,351.4833333333333,320.65,30.83333333333333,0.8132661033354576,0.3854166666666666,DI_Water,60
41,351.4833333333333,322.15,29.33333333333333,0.8132661033354576,0.3666666666666666,DI_Water,60
42,352.15,321.65,30.5,0.8465966813410092,0.38125,DI_Water,60
43,352.81666666666666,324.15,28.66666666666667,0.8465966813410092,0.3583333333333334,DI_Water,60
44,352.81666666666666,323.9,28.91666666666667,0.8465966813410092,0.3614583333333334,DI_Water,60
45,352.4833333333333,324.9,27.58333333333333,0.8799272593465607,0.3447916666666666,DI_Water,60
46,354.15,325.9,28.25,0.8799272593465607,0.353125,DI_Water,60
47,354.4833333333333,326.65,27.83333333333333,0.8799272593465607,0.3479166666666666,DI_Water,60
48,353.4833333333333,326.9,26.58333333333333,0.9132578373521122,0.3322916666666666,DI_Water,60
49,354.15,327.15,27.0,0.9465884153576638,0.3375,DI_Water,60
50,355.15,327.65,27.5,0.9465884153576638,0.34375,DI_Water,60
51,355.15,329.15,26.0,0.9465884153576638,0.325,DI_Water,60
52,356.81666666666666,329.9,26.91666666666667,0.9465884153576638,0.3364583333333334,DI_Water,60
53,356.4833333333333,329.65,26.83333333333333,0.9799189933632152,0.3354166666666666,DI_Water,60
54,356.81666666666666,331.65,25.16666666666667,0.9799189933632152,0.3145833333333334,DI_Water,60
55,356.81666666666666,331.65,25.16666666666667,0.9799189933632152,0.3145833333333334,DI_Water,60
56,355.4833333333333,330.9,24.58333333333333,0.9799189933632152,0.3072916666666666,DI_Water,60
101,304.75,304.15,0.6000000000000014,0.4132991672688391,0.0075,DI_Water,60
102,304.95,304.15,0.8000000000000007,0.4132991672688391,0.01,DI_Water,60
103,305.75,304.4,1.3500000000000014,0.4132991672688391,0.016875,DI_Water,60
104,306.95,304.9,2.049999999999997,0.4132991672688391,0.0256249999999999,DI_Water,60
105,308.75,305.15,3.6000000000000014,0.4132991672688391,0.045,DI_Water,60
106,310.75,305.65,5.100000000000001,0.4132991672688391,0.06375,DI_Water,60
107,312.35,306.4,5.950000000000003,0.4132991672688391,0.074375,DI_Water,60
108,314.35,306.9,7.450000000000003,0.4132991672688391,0.093125,DI_Water,60
109,316.15,307.9,8.25,0.4132991672688391,0.103125,DI_Water,60
110,317.95,308.4,9.549999999999995,0.4132991672688391,0.1193749999999999,DI_Water,60
111,319.95,309.4,10.549999999999995,0.4132991672688391,0.1318749999999999,DI_Water,60
112,321.95,310.15,11.799999999999995,0.4132991672688391,0.1474999999999999,DI_Water,60
113,323.54999999999995,311.15,12.4,0.4132991672688391,0.1549999999999999,DI_Water,60
114,325.35,311.4,13.950000000000005,0.4132991672688391,0.174375,DI_Water,60
115,326.95,312.15,14.799999999999995,0.4466297452743906,0.1849999999999999,DI_Water,60
116,328.35,312.9,15.450000000000005,0.4466297452743906,0.193125,DI_Water,60
117,329.95,313.9,16.049999999999997,0.4799603232799422,0.2006249999999999,DI_Water,60
118,331.35,314.65,16.700000000000003,0.4799603232799422,0.20875,DI_Water,60
119,332.95,315.65,17.299999999999997,0.4799603232799422,0.2162499999999999,DI_Water,60
120,334.15,316.15,18.0,0.4799603232799422,0.225,DI_Water,60
121,335.75,316.65,19.1,0.4799603232799422,0.23875,DI_Water,60
122,336.95,317.9,19.05,0.4799603232799422,0.2381249999999999,DI_Water,60
123,338.15,318.15,20.0,0.5132909012854937,0.25,DI_Water,60
124,339.75,319.15,20.599999999999994,0.5132909012854937,0.2574999999999999,DI_Water,60
125,340.95,319.9,21.05,0.5466214792910453,0.2631249999999999,DI_Water,60
126,341.54999999999995,320.15,21.40000000000001,0.5466214792910453,0.2675,DI_Water,60
127,342.75,320.4,22.349999999999994,0.5466214792910453,0.2793749999999999,DI_Water,60
128,343.75,320.9,22.849999999999994,0.5799520572965968,0.2856249999999999,DI_Water,60
129,344.75,321.65,23.099999999999994,0.6132826353021483,0.2887499999999999,DI_Water,60
130,345.95,321.9,24.05,0.6132826353021483,0.300625,DI_Water,60
131,346.54999999999995,322.15,24.40000000000001,0.6132826353021483,0.305,DI_Water,60
132,347.35,322.9,24.450000000000003,0.6132826353021483,0.305625,DI_Water,60
133,347.75,323.4,24.349999999999994,0.6132826353021483,0.3043749999999999,DI_Water,60
134,348.95,323.9,25.05,0.6466132133076999,0.313125,DI_Water,60
135,349.54999999999995,324.4,25.15000000000001,0.6466132133076999,0.314375,DI_Water,60
136,349.54999999999995,325.15,24.40000000000001,0.6799437913132514,0.305,DI_Water,60
137,350.35,325.65,24.700000000000003,0.6799437913132514,0.30875,DI_Water,60
138,351.15,326.4,24.75,0.6799437913132514,0.309375,DI_Water,60
139,348.15,328.9,19.25,0.6799437913132514,0.240625,DI_Water,60
140,350.15,328.65,21.5,0.713274369318803,0.26875,DI_Water,60
141,351.54999999999995,328.15,23.40000000000001,0.713274369318803,0.2925000000000001,DI_Water,60
142,352.54999999999995,328.4,24.15000000000001,0.7466049473243546,0.301875,DI_Water,60
143,353.15,329.15,24.0,0.7466049473243546,0.3,DI_Water,60
144,353.75,329.4,24.349999999999994,0.7466049473243546,0.3043749999999999,DI_Water,60
145,354.35,330.15,24.200000000000003,0.7799355253299061,0.3025,DI_Water,60
146,355.15,330.4,24.75,0.7799355253299061,0.309375,DI_Water,60
147,355.35,330.9,24.450000000000003,0.8132661033354576,0.305625,DI_Water,60
148,356.15,331.65,24.5,0.8132661033354576,0.30625,DI_Water,60
149,356.35,331.65,24.700000000000003,0.8132661033354576,0.30875,DI_Water,60
150,356.35,332.15,24.200000000000003,0.8132661033354576,0.3025,DI_Water,60
151,357.15,332.9,24.25,0.8132661033354576,0.303125,DI_Water,60
152,357.54999999999995,332.9,24.65000000000001,0.8132661033354576,0.3081250000000001,DI_Water,60
153,357.54999999999995,333.15,24.40000000000001,0.8465966813410092,0.305,DI_Water,60
154,357.95,333.65,24.3,0.8465966813410092,0.3037499999999999,DI_Water,60
155,358.75,333.65,25.099999999999994,0.8799272593465607,0.3137499999999999,DI_Water,60
156,358.54999999999995,334.15,24.40000000000001,0.8799272593465607,0.305,DI_Water,60
157,358.95,334.15,24.8,0.8799272593465607,0.3099999999999999,DI_Water,60
158,359.15,334.65,24.5,0.9132578373521122,0.30625,DI_Water,60
159,359.75,334.65,25.099999999999994,0.9132578373521122,0.3137499999999999,DI_Water,60
160,359.95,334.65,25.3,0.9132578373521122,0.31625,DI_Water,60
161,360.35,334.65,25.700000000000003,0.9132578373521122,0.32125,DI_Water,60
162,360.35,335.65,24.700000000000003,0.9132578373521122,0.30875,DI_Water,60
163,360.35,335.65,24.700000000000003,0.9132578373521122,0.30875,DI_Water,60
164,360.35,336.4,23.950000000000003,0.9465884153576638,0.299375,DI_Water,60
165,361.35,336.4,24.950000000000003,0.9465884153576638,0.311875,DI_Water,60
166,361.35,336.4,24.950000000000003,0.9465884153576638,0.311875,DI_Water,60
167,361.75,336.9,24.849999999999994,0.9465884153576638,0.3106249999999999,DI_Water,60
168,361.75,336.9,24.849999999999994,0.9465884153576638,0.3106249999999999,DI_Water,60
169,361.75,336.65,25.099999999999994,0.9465884153576638,0.3137499999999999,DI_Water,60
170,361.75,336.9,24.849999999999994,0.9465884153576638,0.3106249999999999,DI_Water,60
171,361.75,337.15,24.599999999999994,0.9465884153576638,0.3074999999999999,DI_Water,60
172,362.35,337.9,24.450000000000003,0.9465884153576638,0.305625,DI_Water,60
173,362.35,338.15,24.200000000000003,0.9465884153576638,0.3025,DI_Water,60
174,362.35,338.4,23.950000000000003,0.9465884153576638,0.299375,DI_Water,60
175,362.75,338.15,24.599999999999994,0.9465884153576638,0.3074999999999999,DI_Water,60
176,362.95,338.9,24.05,0.9465884153576638,0.300625,DI_Water,60
177,362.95,338.9,24.05,0.9799189933632152,0.300625,DI_Water,60
178,362.75,339.15,23.599999999999994,0.9799189933632152,0.2949999999999999,DI_Water,60
179,362.75,338.65,24.099999999999994,0.9799189933632152,0.3012499999999999,DI_Water,60
180,362.75,339.15,23.599999999999994,0.9799189933632152,0.2949999999999999,DI_Water,60
181,362.75,338.4,24.349999999999994,0.9799189933632152,0.3043749999999999,DI_Water,60
182,362.15,337.9,24.25,0.9799189933632152,0.303125,DI_Water,60
183,362.15,337.9,24.25,0.9799189933632152,0.303125,DI_Water,60
184,362.55,338.65,23.90000000000001,0.9799189933632152,0.29875,DI_Water,60
185,362.55,338.9,23.65000000000001,0.9799189933632152,0.2956250000000001,DI_Water,60
186,363.15,339.15,24.0,0.9799189933632152,0.3,DI_Water,60
187,362.95,339.4,23.55,0.9799189933632152,0.2943749999999999,DI_Water,60
188,363.55,339.65,23.90000000000001,0.9799189933632152,0.29875,DI_Water,60
189,363.75,340.4,23.349999999999994,0.9799189933632152,0.2918749999999999,DI_Water,60
222,303.75,303.15,0.6000000000000014,0.3799685892632876,0.0075,DI_Water,60
223,303.95,303.15,0.8000000000000007,0.3799685892632876,0.01,DI_Water,60
224,303.95,303.15,0.8000000000000007,0.3799685892632876,0.01,DI_Water,60
225,304.95,303.15,1.8000000000000007,0.3799685892632876,0.0225,DI_Water,60
226,306.35,303.4,2.950000000000003,0.3799685892632876,0.036875,DI_Water,60
227,307.75,304.15,3.6000000000000014,0.3799685892632876,0.045,DI_Water,60
